"","ID","year","month","day","TMAX"
"30785","USC00020949",1973,9,2,372
"30786","USC00020949",1973,9,3,394
"30787","USC00020949",1973,9,4,417
"30788","USC00020949",1973,9,5,417
"30789","USC00020949",1973,9,6,406
"30790","USC00020949",1973,9,7,422
"30791","USC00020949",1973,9,8,389
"30792","USC00020949",1973,9,9,378
"30793","USC00020949",1973,9,10,372
"30794","USC00020949",1973,9,11,383
"30795","USC00020949",1973,9,12,400
"30796","USC00020949",1973,9,13,394
"30797","USC00020949",1973,9,14,389
"30798","USC00020949",1973,9,15,400
"30799","USC00020949",1973,9,16,389
"30800","USC00020949",1973,9,17,389
"30801","USC00020949",1973,9,18,378
"30802","USC00020949",1973,9,19,372
"30803","USC00020949",1973,9,20,383
"30804","USC00020949",1973,9,21,378
"30805","USC00020949",1973,9,22,383
"30806","USC00020949",1973,9,23,372
"30810","USC00020949",1973,9,27,350
"30811","USC00020949",1973,9,28,367
"30812","USC00020949",1973,9,29,378
"30813","USC00020949",1973,9,30,389
"30877","USC00020949",1973,10,1,372
"30878","USC00020949",1973,10,2,356
"30880","USC00020949",1973,10,4,350
"30881","USC00020949",1973,10,5,350
"30889","USC00020949",1973,10,13,350
"30890","USC00020949",1973,10,14,378
"30891","USC00020949",1973,10,15,372
"30892","USC00020949",1973,10,16,378
"30893","USC00020949",1973,10,17,378
"30894","USC00020949",1973,10,18,361
"30895","USC00020949",1973,10,19,367
"30896","USC00020949",1973,10,20,350
"31456","USC00020949",1974,4,22,350
"31464","USC00020949",1974,4,30,350
"31528","USC00020949",1974,5,1,361
"31529","USC00020949",1974,5,2,350
"31534","USC00020949",1974,5,7,361
"31535","USC00020949",1974,5,8,367
"31536","USC00020949",1974,5,9,372
"31537","USC00020949",1974,5,10,350
"31538","USC00020949",1974,5,11,389
"31539","USC00020949",1974,5,12,372
"31540","USC00020949",1974,5,13,356
"31541","USC00020949",1974,5,14,350
"31542","USC00020949",1974,5,15,350
"31549","USC00020949",1974,5,22,367
"31550","USC00020949",1974,5,23,356
"31551","USC00020949",1974,5,24,361
"31552","USC00020949",1974,5,25,417
"31553","USC00020949",1974,5,26,439
"31554","USC00020949",1974,5,27,433
"31555","USC00020949",1974,5,28,406
"31556","USC00020949",1974,5,29,378
"31557","USC00020949",1974,5,30,356
"31558","USC00020949",1974,5,31,361
"31621","USC00020949",1974,6,1,378
"31622","USC00020949",1974,6,2,389
"31623","USC00020949",1974,6,3,394
"31624","USC00020949",1974,6,4,394
"31625","USC00020949",1974,6,5,389
"31626","USC00020949",1974,6,6,394
"31627","USC00020949",1974,6,7,372
"31628","USC00020949",1974,6,8,350
"31629","USC00020949",1974,6,9,383
"31630","USC00020949",1974,6,10,411
"31631","USC00020949",1974,6,11,433
"31632","USC00020949",1974,6,12,444
"31633","USC00020949",1974,6,13,450
"31634","USC00020949",1974,6,14,450
"31635","USC00020949",1974,6,15,456
